target,prediction,wer,cer
вс# сделаю что хочешь нежно сказал он,вс# сделаю что хочешь нежно сказал он,0.0,0.0
сотрет опять начертит опять сотрет вс# не выходит,сотрет опять начертит опять сотрет вс# не выходит,0.0,0.0
василиса пошла было и воротилась поспешно еще пришел этот,василиса пошла было и воротилась поспешно еще пришел этот,0.0,0.0
козлов переехал к себе с тем однако чтоб после отъезда татьяны марковны с верой поселиться опять у нее в доме,козлов переехал к себе с тем однако чтоб после отъезда татьяны марковны с верой поселиться опять у нее в доме,0.0,0.0
я кроме огрызающегося тигра не вижу ничего,я кроме огрызающегося тигра не вижу ничего,0.0,0.0
наутро опять та же история то же недовольство и озлобление,наутро опять та же история то же недовольство и озлобление,0.0,0.0
ложь это одно из проклятий сатаны брошенное в мир говорил он не может быть в ней лжи,ложь это одно из проклятий сатаны брошенное в мир говорил он не может быть в ней лжи,0.0,0.0
симпатия эта устояла даже в разгаре посторонней страсти болезни страсти которая обыкновенно самовластно поглощает все другие пристрастия и даже привязанности,симпатия эта устояла даже в разгаре посторонней страсти болезни страсти которая обыкновенно самовластно поглощает все другие пристрастия и даже привязанности,0.0,0.0
нет у нее друзей ни мужчин ни женщин а только множество знакомых,нет у нее друзей ни мужчин ни женщин а только множество знакомых,0.0,0.0
как ни ловил он какой нибудь знак какой нибудь намек знаменательное слово обмененный особый взгляд ничего,как ни ловил он какой нибудь знак какой нибудь намек знаменательное слово обмененный особый взгляд ничего,0.0,0.0
ей конечно не поверили знают ее и теперь добираются правды с кем была вера накануне рождения в роще,ей конечно не поверили знают ее и теперь добираются правды с кем была вера накануне рождения в роще,0.0,0.0
вы приписываете себе много чести мсь# райский он засмеялся потом вздохнул если это неправда то что обидного в моей догадке,вы приписываете себе много чести мсь# райский он засмеялся потом вздохнул если это неправда то что обидного в моей догадке,0.0,0.0
да и сошла прежде времени в могилу она вздохнула и задумалась,да и сошла прежде времени в могилу она вздохнула и задумалась,0.0,0.0
но райский раза три повел его туда,но райский раза три повел его туда,0.0,0.0
райский мокрый как был в грязи бросился за ними и не пропустил ни одного его движения ни ее взгляда,райский мокрый как был в грязи бросился за ними и не пропустил ни одного его движения ни ее взгляда,0.0,0.0
не надо было обещать коли охоты нет,не надо было обещать коли охоты нет,0.0,0.0
это был не я не человек зверь сделал преступление что это такое было,это был не я не человек зверь сделал преступление что это такое было,0.0,0.0
их не манила даль к себе у них не было никакого тумана никаких гаданий,их не манила даль к себе у них не было никакого тумана никаких гаданий,0.0,0.0
она сначала испугалась потом узнав причину слез обрадовалась и осыпала ее поцелуями,она сначала испугалась потом узнав причину слез обрадовалась и осыпала ее поцелуями,0.0,0.0
не поминай этого и не тревожь себя напрасно,не поминай этого и не тревожь себя напрасно,0.0,0.0
а марк уверял и райский тоже что за этим,а марк уверял и райский тоже что за этим,0.0,0.0
я их посажу теперь на чердак в темноту а когда полковник или его свита изволят пожаловать так мои птенцы и вырвутся нечаянно конечно,я их посажу теперь на чердак в темноту а когда полковник или его свита изволят пожаловать так мои птенцы и вырвутся нечаянно конечно,0.0,0.0
он лихорадочно пожал ей руку и пристально поглядел ей в глаза она ничего ясна и покойна,он лихорадочно пожал ей руку и пристально поглядел ей в глаза она ничего ясна и покойна,0.0,0.0
что же вас так привязывает к этому уголку,что же вас так привязывает к этому уголку,0.0,0.0
искренний дон жуан чист и прекрасен,искренний дон жуан чист и прекрасен,0.0,0.0
леонтий оглядывался с беспокойством замечал пустоту и тосковал не зная по непрактичности своей что с собой делать куда деваться и ты,леонтий оглядывался с беспокойством замечал пустоту и тосковал не зная по непрактичности своей что с собой делать куда деваться и ты,0.0,0.0
что мы первый год знакомы с вами или обидеть меня хотите,что мы первый год знакомы с вами или обидеть меня хотите,0.0,0.0
он не успел уловить как и куда пропали девушка и девчонка воробьи мимо его носа проворно и дружно махнули на кровлю,он не успел уловить как и куда пропали девушка и девчонка воробьи девчонка воробьи куда пропали девушка и девчонка воробьи,42.86,35.65
райский случайно поглядел на марфиньку и засмеялся,райский случайно поглядел на марфиньку и засмеялся,0.0,0.0
а егорка пока савелий шел по двору скаля зубы показывал на него сзади пальцем дворне и толкал марину к окну чтобы она взглянула на своего супруга отстань ты черт этакой,а егорка пока савелий шел по двору скаля зубы показывал на него сзади пальцем дворне и толкал марину к окну чтобы она взглянула на своего супруга она взглянула на свое ору и,20.0,13.69
да кстати борюшка и тебя надо отчитать,да кстати борюшка и тебя надо отчитать,0.0,0.0
осведомилась она с притворным равнодушием,осведомилась она с притворным равнодушием,0.0,0.0
заговорил леонтий привставая и глядя в окно,заговорил леонтий привставая и глядя в окно,0.0,0.0
а то что на синей бумаге о котором я недавно спрашивал,а то что на синей бумаге о котором я недавно спрашивал,0.0,0.0
с неудовольствием отозвался райский бесясь на себя что забыл дома спросить адрес козлова,с неудовольствием отозвался райский бесясь на себя что забыл дома спросить адрес козлова,0.0,0.0
завтра пораньше принеси чемодан с чердака слушаю с,завтра пораньше принеси чемодан с чердака слушаю с,0.0,0.0
как же там вс# показано куда поступали твои доходы ты видел нет не видал,как же там вс# показано куда поступали твои доходы ты видел нет не видал,0.0,0.0
принесли воды веер одеколону и вера помогла ей оправиться,принесли воды веер одеколону и вера помогла ей оправиться,0.0,0.0
он едва поспевал следить за ней среди кустов чтоб не случилось с ней чего нибудь,он едва поспевал следить за ней среди кустов чтоб не случилось с ней чего нибудь,0.0,0.0
бабушка только нахмурилась но ничего не сказала он к марфиньке не знаю братец,бабушка только нахмурилась но ничего не сказала он к марфиньке не знаю братец,0.0,0.0
из дома выходить для нее было наказанием,из дома выходить для нее было наказанием,0.0,0.0
а вот ты прячешься в них от скуки,а вот ты прячеся в них от скуки,12.5,6.0600000000000005
он открытыми глазами смотрел в минувшее,он открытыми глазами смотрел в минувшее,0.0,0.0
эти женщины право одни и те же во все времена продолжал он,эти женщины право одни и те же во все времена продолжал он,0.0,0.0
мимо вас будут мелькать дни часы ночи,мимо вас будут мелькать дни часы ночи,0.0,0.0
он задумчиво ходил целый день машинально обедал не говорил с бабушкой и марфинькой ушел от ее гостей не сказавши ни слова велел егорке вынести чемодан опять на чердак и ничего не делал,он задумчиво ходил целый день машинально опять нально опять нально опять на чердак ее гостей не сказавши ни словшини слова вел егорке вынести чердак и не сказавшел,50.0,41.85
вы похвастайтесь ей скажите как крепки ее правила в вас нечем хвастаться,вы похвастайтесь ей скажите как крепки ее правила в вас нечем хвастаться,0.0,0.0
я даже прощения не прошу оно невозможно ты видишь мою казнь вера удар твой,я даже прощения не прошу оно невозможно ты видишь мою казнь вера удар твой,0.0,0.0
косясь на марка говорила она,косясь на марка говорила она,0.0,0.0
потом когда райский ушел от нее шагов на сорок она прикрыв рукой глаза от солнца звонко спросила его вслед не огурцы ли покупаешь,потом когда райский ушел от нее шагов на сорок она прикрыв рукой глаза от солнца звонко спросила его вслед не огурцы ли покупаешь,0.0,0.0
думал райский с ужасом глядя на нее куда спастись от нее,думал райский с ужасом глядя на нее куда спастись от нее,0.0,0.0
возьмите деньги и дайте туда она указала на улицу сами учитесь давать кузина,возьмите деньги и дайте туда она указала на улицу сами учитесь давать кузина,0.0,0.0
яков исчез однажды рано утром со двора взяв на свечу денег из лампадной суммы отпускаемой ему на руки барыней,яков исчез однажды рано утром со двора взяв на свечу денег из лампадной сумны отпускаемой ему на руки барыней,5.26,0.9199999999999999
на волю около пятидесяти душ на волю,на волю около пятидесяти душ на волю,0.0,0.0
а мой то сумасшедший что затеял,а мой то сумасшедший что затеял,0.0,0.0
ну а если этот безбожник или картежник понравится тебе,ну а если этот безбожник или картежник понравится тебе,0.0,0.0
покажи мне свою комнату и комнату верочки потом хозяйство познакомь с дворней я еще не огляделся,покажи мне свою комнату и комнату верочки потом хозяйство познакомнату верочки потом хозяйство познакомнату верочки позна,43.75,48.96
вдруг он услышал что в старом доме отворяется окно,вдруг он услышал что в старом доме отворяется окно,0.0,0.0
зачем вера не то говорит у тебя язык что думает голова а зачем вы молчите что у вас на уме,зачем вера не то говорит у тебя язык что думает голова а зачем вы молчите что у вас на уме,0.0,0.0
долг повторила она настойчиво за отданные друг другу лучшие годы счастья платить взаимно остальную жизнь,долг повторила она настойчиво за отданные друг другу лучшие годы счастья платить взаимно остальную жизнь,0.0,0.0
она вздыхала но воротить прежнего не желала а хотела бы только чтоб это событие отодвинулось лет за десять назад превратилось бы каким нибудь чудом в давнопрошедшее и забылось совсем,она вздыхала но воротить прежнего не желала а хотела бы только чтоб это событилось бы каким нибудь чудесять назад прежнего не желала а хотелась бы каким нибудь чуедшетшее дшежесо и пре шесь жестьом,55.169999999999995,39.56
хотел кажется возражать и напечатать в журнале не знаю,хотел кажется возражать и напечатать в журнале не знаю,0.0,0.0
у меня оружие слабо и только имеет ту цену что оно мое собственное что я взяла его в моей тихой жизни а не из книг не понаслышке,у меня оружие слабо и только имеет ту цену что оно мое собственное что я взяла его в моей тихой жизни а не из книг не понаслышке,0.0,0.0
стало быть ты не знаешь куда я твои деньги тратила,стало быть ты не знаешь куда я твои деньги тратила,0.0,0.0
что у вас за страсть преследовать мои бедные правила потому что они не ваши чьи же,что у вас за страсть преследовать мои бедные правила потому что они не ваши чи же,6.25,1.22
с иными она останавливалась поговорить,с иными она останавливалась поговорить,0.0,0.0
большие овальные в золоченых в виде веток рамах зеркала,большие овальные в золоченых в виде веток рамах зеркала,0.0,0.0
вон уж настасья петровна покраснела вмешался нил андреич,вон уж настасья петровна покраснела вмешался нил андреич,0.0,0.0
чтоб она ничего не подозревала не присылала сюда никого,чтоб она ничего не подозревала не присылала сюда никого,0.0,0.0
прощай мотинька мы тебе гробок сколотим да поленце в голову положим,прощай мотинька мы тебе положим да положим,45.45,40.300000000000004
а я еще просила вас оставить разговор о любви о страстях,а я еще просила вас оставить разговор о любви о страстях,0.0,0.0
михайло иваныч помещик любит его у него там полная чаша хлеба всякого добра вволю,михайло иваныч помещик любит его у него там полная чаша хлеба всякого добра вволю,0.0,0.0
это она при тебе такая стала она смирная а тут вдруг,это она при тебе такая стала она смирная а тут вдруг,0.0,0.0
высокая не полная и не сухощавая но живая старушка,высокая не полная и не сухощавая но живая старушка,0.0,0.0
отвечала она удерживая его за рукав,отвечала она удерживая его за рукав,0.0,0.0
да мне там было хорошо сказала она глядя в сторону рассеянно никто меня не допрашивал не подозревал так тихо покойно и притом друг был подле,да мне там было хорошо сказала она глядя в сторону рассеянно никто меня не допрашивал не подозревал так тихо покойно и притом друг был подле,0.0,0.0
вы говорите нехорошо бегать возиться с детьми петь ну не стану боже тебя сохрани,вы говорите нехорошо бегать возиться с детьми петь ну не стану боже тебя сохрани,0.0,0.0
думал райский какая противоположность с сестрой та луч тепло и свет,думал райский какая противоположность с сестрой та луч тепло и свет,0.0,0.0
я и не знала кто там у него спит,я и не знала кто там у него спит,0.0,0.0
здесь сторож есть он поймает вас нехорошо,здесь сторож есть он поймает вас нехорошо,0.0,0.0
он постоял посредине двора лениво оглянулся во все стороны почесался зевнул и вдруг почувствовал симптомы болезни мучившей его в петербурге ему стало скучно,он постоял посредине двора лениво оглянулся во все стороны почесался зевнул и вдруг почувствовал симптомы болезни мучившей его в петербурге ему стало скучно,0.0,0.0
этой жажде свободы даст пищу идеи добра правды и как художник вызовет в ней внутреннюю красоту на свет,этой жажде свободы даст пищу идеи добра правды и как художник вызовет в ней внутреннюю красоту на свет,0.0,0.0
а мне и умереть нельзя у меня на руках две внуки давно невесты,а мне и умереть нельзя у меня на руках две внуки давно невесты,0.0,0.0
они не жертвы общественного темперамента как те несчастные создания которые за кусок хлеба за одежду за обувь и кров служат животному голоду,они не жертвы общественного темперамента как те несчастные создания которые за кусок хлеба за одежду за обувь и кров служат животному голоду,0.0,0.0
она ему совала большую шнуровую тетрадь бабушка,она ему совала большую шнуровую тетрадь бабушка,0.0,0.0
что то похожее на грусть блеснуло в глазах которые в одно мгновение поднялись к небу и быстро потупились,что то похожее на грусть блеснуло в глазах которые в одно мгновение поднялись к небу и быстро потупились,0.0,0.0
ну не сердитесь на старика он не от злого сердца он почтенный такой,ну не сердитесь на старика он не от злого сердитесь на старика он не от злого сердца,53.849999999999994,46.27
что то постороннее вере как облако стало между ним и ею,что то постороннее вере как остало между ним и ею,18.18,10.91
а если и бывает то в сфере рабочего человека в приспособлении к делу грубой силы или грубого уменья следовательно дело рук плечей спины и то дело вяжется плохо плетется кое как,а если и бывает то в сфере рабочего человека в приспособлении к делу грубой силы или грубого уменья следовательно дело рук плечей спины и то дело вяжется плохо плетется кое как,0.0,0.0
да я еще не кончил я начинаю только что вы перебил марк,да я еще не кончил я начинаю только что вы перебил марк,0.0,0.0
он поглядел ей в глаза в них стояли слезы,он поглядел ей в глаза в них стояли слезы,0.0,0.0
сказала она вдруг обернувшись к нему и взяв его за руки ну кто его оскорбляет что вы мне мораль читаете,сказала она вдруг обернувшись к нему и взяв его за руки ну кто его за руки ну кто его за руки ну кто его за руки,60.0,33.98
сказал он целуя у нее руку,сказал он целуя у нее руку,0.0,0.0
на лбу у него собрались крупные складки он был бледен,на лбу у него собрались крупные складки он был бледен,0.0,0.0
в эту минуту вдали внизу обрыва раздался выстрел это кто забавляется,в эту минуту вдали внизу обрыва раздался выстрел это кто забавляется,0.0,0.0
если сядет за шитье то углубится серьезно и молча долго может просидеть,если сядет за шитье то углубится серьезно и молча долго может просидеть,0.0,0.0
как же говорят что вы не заглядываете в церковь,как же говорят что вы не заглядываете в церковь,0.0,0.0
в двух хрустальных тарелках была икра я знаю что вы любите да любите икру,в двух хрустальных тарелках была икра я знаю что вы любите да любите икру,0.0,0.0
мне хотелось бы самой поговорить с вами может быть я опоздала,мне хотелось бы самой поговорить с вами может быть я опоздала,0.0,0.0
на поясе и в карманах висело и лежало множество ключей так что бабушку как гремучую змею можно было слышать издали когда она идет по двору или по саду,на поясе и в карманах висело и лежало множело множно было слышать издали когда она ви карманах висело и по двору или по саду,46.43,40.67
он начал хныкать и всхлипывать,он начал хныкать и всхлипывать,0.0,0.0
тут артистки музыки балета певцы художники и золотая молодежь красота ум таланты юмор вся солнечная сторона жизни,тут артистки музыки балета певцы художники и золотая молодежь красота ум таланты юмор вся солнечная сторона жизни,0.0,0.0
веры не было ни в ее комнате ни в старом доме ни в поле не видать ее ни в огородах,веры не было ни в ее комнате ни в старом доме ни в поле не видать ее ни в огородах,0.0,0.0
райский и не намеревался выдать свое посещение за визит он просто искал какого нибудь развлечения чтоб не чувствовать тупой скуки и вместе также чтоб не сосредоточиваться на мысли о вере,райский и не намеревался выдать свое посещение за визит он просто искал какого нибудь развлечения чтоб не чувствовать тупой скуки и вместе также чтоб не сосредоточиваться на они ни мы чт,13.33,5.91
бог с тобой что ты борюшка долго ли этак до сумы дойти,бог с тобой что ты борюшка долго ли этак до сумы дойти,0.0,0.0
вы никогда не дадите мне того счастья какого я хочу,вы никогда не дадите мне того счастья какого я хочу,0.0,0.0
следовательно мне надо принести жертву то есть мне хочется теперь принести ее и я приношу,следовательно мне надо принести жертву то есть мне хочется теперь принести ее и я приношу,0.0,0.0
с иваном ивановичем как то не страшно бабушка,с иваном ивановичем как то не страшно бабушка,0.0,0.0
удержала она его на смех поднимет нет поклонится,удержала она его на смех поднимет нет поклонится,0.0,0.0
смеялась она насквозь видно ты ты,смеялась она на,66.67,54.55
да то же я думаю что и вы разве вы,да то же я думаю что и вы разве вы,0.0,0.0
для тебя и для семейного праздника могла бы отложить свои причуды сказала она и поехать к обедне,для тебя и для семейного праздника могла бы отложить свои причуды сказала она и поехать к обедне,0.0,0.0
она с пренебрежением взглянула на него и слегка пожала плечами,она с пренебрежением взглянула на него и слегка пожала плечами,0.0,0.0
а ты борис павлыч женись не женись мне вс# равно только отстань и вздору не мели,а ты борис павлыч женись не женись мне вс# равно только отстань и вздору не мели,0.0,0.0
однако он убедил первых двух пойти и посмотреть,однако он убедил первых двух пойти и посмотреть,0.0,0.0
разве тебе нужно чтоб я знала что там нужно бабушка прочти,разве тебе нужно чтоб я знала что там нужно бабушка прочти,0.0,0.0
станет звать в сад я не пойду в поле тоже не пойду и бегать не стану это я вс# могу,станет звать в сад я не пойду в поле тоже не пойду и бегать не стану это я вс# могу,0.0,0.0
сказала вера указывая на кружившуюся около цветка бабочку троньте неосторожно цвет крыльев пропадет пожалуй и совсем крыло оборвете смотрите же,сказала вера указывая на кружившуюся около цветка бабочку троньте неосторожно цвет крыльев пропадет пожалуй и совсем крыло оборвете смотрите же,0.0,0.0
райский сбросил было долой гору наложенных одна на другую мягких подушек и взял с дивана одну жесткую потом прогнал егорку посланного бабушкой раздевать его,райский сбросил было долой гору наложенных одна на другую мягких подушек и взял с дивана одну жесткую потом прогнал егорку посланного бабушкой раздевать его,0.0,0.0
с улыбкой спросила она и с улыбкой глядела на райского и вс# задумчиво молчала ей не хотелось говорить,с улыбкой спросила она и с улыбкой глядела на райского и вс# задумчиво молчала ей не хотелось говорить,0.0,0.0
леонтий не смотрел и не слыхал что райский говорил и как он вышел,леонтий не смотрел и не слыхал что райский говорил и как он вышел,0.0,0.0
вдруг приподнявшись на локоть с ужасом в глазах и в голосе спросила вера,вдруг приподнявшись на локоть с ужасом в глазах и в голосе спросила вера,0.0,0.0
заискивающим голосом говорил он я ничего такого,заискивающим голосом говорил он я ничего такого,0.0,0.0
а вы сами разве такая какие были недавно еще сегодня вечером,а вы сами разве такая какие были недавно еще сегодня вечером,0.0,0.0
ключи от своего ума сердца характера от мыслей и тайн вот какие у бабушки отлегло от сердца вон оно что,ключи от своего ума сердца характера от мыслей и тайн вот какие у бабушки отлегло от сердца вон от мыслей и тайн вот какие у бабушки,40.0,31.069999999999997
я не прошу у тебя прощения за всю эту историю,я не прошу у тебя прощения за всю эту историю,0.0,0.0
она взглянула на него раза два и потом боялась или не хотела глядеть почему невозможно повторил он ведь я канарейка,она взглянула на него раза два и потом боялась или не хотела глядеть почему невозможно повторил он ведь я канарейка,0.0,0.0
марина сказала что барышня надела шляпку мантилью взяла зонтик и ушла куда,марина сказала что барышня надела шляпку мантилью в шляпку мантилью в людилью в жяпку,58.330000000000005,33.78
самый процесс жизни он выдавал и за ее конечную цель,самый процесс жизни он выдавал и за ее конечную цель,0.0,0.0
подумай также и об имении я становлюсь стара и приказчицей твоей долго не буду на кого ты покинешь свое добро,подумай также и об имении я становлюсь стара и приказчицей твоей долго не буду на кого ты покинешь свое добро,0.0,0.0
в отступлениях от порядка от формы от ваших скучных правил только и есть отрады,в отступлениях от порядка от плениях отрады,57.14,50.629999999999995
так же сидели глядели на вс# покойно так же с помощью ваших двух фей медленно одевались покойно ждали кареты чтоб ехать туда куда рвалось сердце,так же сидели глядели на вс# покойно так же с помощью ваших двух фей медленно одевались покойно ждали кареты чтоб ехать туда куда рвали кареты чтоб окойно одели кареты,24.0,20.14
назвал он ее чуть чуть слышно,назвал он ее чуть чуть слышно,0.0,0.0
теперь желание выйти из омута неизвестности для себя и положить одним прямым объяснением конец собственной пытке отступило на второй план,теперь желание выйти из омута неизвестности для себя и положить одним прямым объяснением конец собственной пытке отступило на второй план,0.0,0.0
она вдруг выросла в фигуру полную величия так что даже и на него напала робость ты кто,она вдруг выросла в фигуру полную величия так что даже и на него напала робость ты кто,0.0,0.0
но там это было от ее ребяческой застенчивости а здесь не то,но там это было от ее ребяческой застенчивости а здесь не то,0.0,0.0
ведь бабушка не отдала бы за меня,ведь бабушка не отдала бы за меня,0.0,0.0
делай какие хочешь движения гляди куда хочешь или не гляди вовсе и забудь что я тут,делай какие хочешь движения гляди куда хочешь или не гляди вовсе и забудь что я тут,0.0,0.0
но перед носом у него тряслась только низенькая шляпа с большими круглыми полями да широкие плечи рослого человека покрытые мекинтошем,но перед носом у него тряслась только низенькая шляпа с большими круглыми полями да широкие плечи рословека покрытые ми круглыми полями да шем,35.0,18.66
она в неглиже не затянута в латы негнущегося платья без кружев без браслет даже не причесана,она в неглиже не затянута в латы негнущегося платья без кружев без браслет даже не причесана,0.0,0.0
она не поняла его вопроса и глядела на него во все глаза почти до простодушия не свойственного ее умному и проницательному взгляду,она не поняла его вопроса и глядела на него во все глаза почти до простодушия не свойственного ее умному и проницательному взгляду,0.0,0.0
да я еще в баню до ужина пойду,да я еще в баню до ужина пойду,0.0,0.0
тот должен быть ужасный силач а этот черненький плут,тот должен быть ужасный силач а этот черненький плут,0.0,0.0
заметила она делая движение плечами надо велеть затопить камин,заметила она делая движение плечами надо велеть затопить камин,0.0,0.0
а вы молодой человек по какому праву смеете мне делать выговоры,а вы молодой человек по какому праву смеете мне делать выговоры,0.0,0.0
змеи воры собаки свиньи мертвецы,змеи воры собаки свиньи мертвецы,0.0,0.0
одних материалов с пуд наберется,одних материалов с пуд наберется,0.0,0.0
и уехал прописав нилу андреевичу диету и покой суета сует,и уехал прописав нила андреевичу диету и покой суета сует,10.0,1.7500000000000002
а сам торопливо сунулся в угол комнаты порылся там и достал рамку с натянутым холстом выдвинул мольберт и начал шарить по углам отыскивая ящик с красками что ты хочешь делать спросила она,а сам торопливо сунулся в угол комнаты порылся там и достал рамку с натянутым холстом выдвинул мольберт и начал шарить по углам отыскивая ящик с красками что ты хочешь тыдвыдвыдемила спона,9.379999999999999,7.489999999999999
обо мне бабушка заботится пока жива а как она умрет бабушка боже сохрани,обо мне бабушка заботится пока жива а как она умрет бабушка боже сохрани,0.0,0.0
таким образом всплыло на горизонт легкое облачко и стало над головой твоей кузины,таким образом всплыло на горизонт легкое облачко и стало над головой твоей кузины,0.0,0.0
